region,universe,decay,neutralization,delay,alpha_expr,sharpe,fitness,turnover,weight_concentration
USA,TOP3000,4,SUBINDUSTRY,1,rank(close-open),1.34,1.34,0.6,0.5
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(-ts_corr(rank(volume), 10)",1.41,1.41,0.57,0.56
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(-ts_corr(rank(volume), 10)",2.17,1.57,0.55,0.19
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(-ts_corr(rank(volume), 2)",2.5,1.5,0.04,0.74
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(rank(ts_rank(close), 20)",1.56,1.76,0.29,0.45
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(rank(ts_rank(close), 4)",2.76,2.16,0.25,0.64
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(rank(ts_rank(close), 8)",1.4,1.8,0.22,0.74
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(zscore(ts_rank(close), 5)",1.96,1.76,0.09,0.83
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(zscore(ts_rank(close), 8)",2.57,2.17,0.05,0.04
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_mean(ts_rank(close, 10), 5)",1.82,1.42,0.28,0.53
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_mean(ts_rank(close, 10), 5)",2.63,1.23,0.44,0.69
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_mean(ts_rank(close, 10), 20)",2.27,1.47,0.09,0.32
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_mean(ts_rank(close, 10), 4)",1.65,1.85,0.6,0.87
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(ts_rank(close, 20), 20)",2.53,1.73,0.13,0.86
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(ts_rank(close, 20), 4)",2.73,1.13,0.54,0.93
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(ts_rank(close, 20), 8)",2.53,1.13,0.26,0.63
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(rank(rank(close-open)), 5)",1.83,1.83,0.46,0.88
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(rank(rank(close-open)), 8)",2.5,1.3,0.42,0.45
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_mean(rank(close-open), 10), 5)",2.72,1.72,0.28,0.93
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_mean(rank(close-open), 10), 20)",2.34,1.14,0.27,0.85
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(rank(close-open), 20), 10)",1.78,1.98,0.24,0.99
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(rank(close-open), 20), 2)",2.78,1.58,0.29,0.11
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(rank(close-open), 20), 8)",1.94,1.34,0.0,0.3
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(rank(-ts_corr(rank(volume)), 5)",1.23,1.03,0.59,0.02
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(rank(-ts_corr(rank(volume)), 4)",2.27,1.87,0.18,0.67
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(rank(-ts_corr(rank(volume)), 8)",1.63,1.43,0.51,0.1
USA,TOP3000,4,SUBINDUSTRY,1,zscore(-ts_corr(rank(volume)),1.31,1.51,0.17,0.08
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_mean(-ts_corr(rank(volume), 10), 5)",2.48,1.48,0.34,0.62
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_mean(-ts_corr(rank(volume), 10), 10)",1.61,2.01,0.34,0.63
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(-ts_corr(rank(volume), 20), 10)",2.43,1.23,0.46,0.68
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(-ts_corr(rank(volume), 20), 20)",2.03,1.43,0.1,0.89
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(rank(rank(ts_std_dev(returns), 5)",1.2,1.6,0.11,0.25
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(rank(rank(ts_std_dev(returns), 20)",2.2,1.2,0.55,0.84
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(rank(rank(ts_std_dev(returns), 2)",1.75,1.75,0.06,0.87
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(zscore(rank(ts_std_dev(returns), 5)",2.12,1.32,0.41,0.19
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(zscore(rank(ts_std_dev(returns), 20)",1.75,2.15,0.57,0.35
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_mean(rank(ts_std_dev(returns, 10), 5)",1.92,1.52,0.6,0.12
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(rank(ts_std_dev(returns, 20), 10)",2.44,1.24,0.07,0.86
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(rank(ts_std_dev(returns, 20), 20)",2.64,2.04,0.44,0.46
