region,universe,decay,neutralization,delay,alpha_expr,sharpe,fitness,turnover,weight_concentration,failure_reason
USA,TOP3000,4,SUBINDUSTRY,1,ts_rank(close,0.24,1.64,0.14,0.2,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(close, 5)",0.74,1.74,0.43,0.05,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(close, 5)",0.01,1.01,0.63,0.6,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(close, 10)",2.24,0.84,0.13,0.43,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(close, 10)",0.29,2.09,0.58,0.26,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(close, 20)",0.31,1.91,0.2,0.85,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(close, 20)",2.49,0.29,0.55,0.51,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(close, 2)",2.03,0.23,0.49,0.36,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(close, 4)",-0.1,1.3,0.52,0.53,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(close, 8)",0.2,1.2,0.44,0.61,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(rank(close-open), 5)",-0.16,0.44,0.34,0.7,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(rank(close-open), 5)",0.18,0.38,0.09,0.37,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(rank(close-open), 10)",-0.18,0.22,0.0,0.41,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(rank(close-open), 10)",0.35,0.55,0.07,0.15,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(rank(close-open), 20)",2.79,0.79,0.59,0.7,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(rank(close-open), 20)",0.64,0.84,0.07,0.63,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(rank(close-open), 2)",0.69,2.09,0.38,0.17,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(rank(close-open), 4)",0.89,1.09,0.41,0.88,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(rank(close-open), 8)",0.48,1.88,0.86,0.39,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,-ts_corr(rank(volume),-0.18,2.02,0.68,0.29,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(-ts_corr(rank(volume), 5)",2.26,0.46,0.86,0.85,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(-ts_corr(rank(volume), 5)",2.37,0.97,0.62,0.32,low_fitness
